cciExit,8/24/2022 20:01,4144.5,-12.5,-7825
cciBuy,8/24/2022 19:53,4144.75,-12.5,-7825
cciExit,8/24/2022 19:39,4146.5,-12.5,-7812.5
cciBuy,8/24/2022 19:38,4146.75,-12.5,-7812.5
cciExit,8/24/2022 19:12,4147.25,-25,-7800
cciBuy,8/24/2022 19:12,4147.75,-25,-7800
cciExit,8/24/2022 19:08,4147.5,12.5,-7775
cciBuy,8/24/2022 18:53,4147.25,12.5,-7775
cciExit,8/24/2022 18:51,4147.25,0,-7787.5
cciBuy,8/24/2022 18:51,4147.25,0,-7787.5
cciExit,8/24/2022 18:48,4147.5,-25,-7787.5
cciBuy,8/24/2022 18:47,4148,-25,-7787.5
cciExit,8/24/2022 18:44,4147.75,-25,-7762.5
cciBuy,8/24/2022 18:39,4148.25,-25,-7762.5
cciExit,8/24/2022 18:36,4148,-50,-7737.5
cciBuy,8/24/2022 18:27,4149,-50,-7737.5
cciExit,8/24/2022 18:23,4148.75,0,-7687.5
cciBuy,8/24/2022 18:23,4148.75,0,-7687.5
cciExit,8/24/2022 18:17,4149.25,0,-7687.5
cciBuy,8/24/2022 18:02,4149.25,0,-7687.5
cciExit,8/24/2022 18:00,4148.75,100,-7687.5
cciBuy,8/24/2022 16:39,4146.75,100,-7687.5
cciExit,8/24/2022 16:21,4145.25,62.5,-7787.5
cciBuy,8/24/2022 16:02,4144,62.5,-7787.5
cciExit,8/24/2022 15:55,4146.5,-125,-7850
cciBuy,8/24/2022 15:54,4149,-125,-7850
cciExit,8/24/2022 15:47,4149,150,-7725
cciBuy,8/24/2022 15:31,4146,150,-7725
cciExit,8/24/2022 15:27,4146.5,525,-7875
cciBuy,8/24/2022 14:49,4136,525,-7875
cciExit,8/24/2022 14:46,4135.5,-37.5,-8400
cciBuy,8/24/2022 14:38,4136.25,-37.5,-8400
cciExit,8/24/2022 14:32,4137.5,-150,-8362.5
cciBuy,8/24/2022 14:24,4140.5,-150,-8362.5
cciExit,8/24/2022 13:32,4132.25,-87.5,-8212.5
cciBuy,8/24/2022 13:32,4134,-87.5,-8212.5
cciExit,8/24/2022 13:18,4139.25,100,-8125
cciBuy,8/24/2022 12:54,4137.25,100,-8125
cciExit,8/24/2022 12:51,4135.25,-162.5,-8225
cciBuy,8/24/2022 12:49,4138.5,-162.5,-8225
cciExit,8/24/2022 12:44,4142.75,-150,-8062.5
cciBuy,8/24/2022 12:42,4145.75,-150,-8062.5
cciExit,8/24/2022 12:35,4148.25,-87.5,-7912.5
cciBuy,8/24/2022 12:35,4150,-87.5,-7912.5
cciExit,8/24/2022 12:29,4151.25,-100,-7825
cciBuy,8/24/2022 12:26,4153.25,-100,-7825
cciExit,8/24/2022 12:19,4154,-87.5,-7725
cciBuy,8/24/2022 12:19,4155.75,-87.5,-7725
cciExit,8/24/2022 12:01,4154,137.5,-7637.5
cciBuy,8/24/2022 11:39,4151.25,137.5,-7637.5
cciExit,8/24/2022 11:06,4137,150,-7775
cciBuy,8/24/2022 10:45,4134,150,-7775
cciExit,8/24/2022 10:38,4135.75,-237.5,-7925
